1d_exp_on_col_0,1d_none_on_col_1,1d_cumsum_on_col_1
1.0,-5.0,-5.0
1.0159996613842497,-4.739636730835662,-9.739636730835663
1.03225531193291,-3.9856625361146136,-13.725299266950277
1.0487710473859297,-2.8166002903181164,-16.541899557268394
1.0655510290137098,-1.354202340715023,-17.896101897983417
1.082599484665568,0.2492294283034816,-17.646872469679934
1.0999207098349804,1.8267051218319643,-15.82016734784797
1.1175190687418637,3.2139380484326963,-12.606229299415274
1.1353989954321755,4.266454408160775,-8.3397748912545
1.1535649948951077,4.874639560909115,-3.465135330345385
1.1720216441981532,4.975153876827007,1.5100185464816223
1.1907735936403354,4.557529261558363,6.067547808039985
1.209825567923887,3.665259359149132,9.732807167189117
1.229182367344677,2.391269893106597,12.124077060295715
1.2488488690016821,0.8682408883346565,12.99231794863037
1.2688300280258125,-0.7452113308808694,12.247106617749502
1.2891308788283935,-2.2810532867658138,9.966053330983687
1.3097565363696282,-3.5793342462985867,6.386719084685101
1.33071219744735,-4.504844339512093,1.8818747451730076
1.3520031420063985,-4.961196033000862,-3.079321287827854
1.3736347344689426,-4.90086243924272,-7.980183727070574
1.3956124250860895,-4.330127018922198,-12.310310745992773
1.4179417513111185,-3.308429187984302,-15.618739933977075
1.4406283391946866,-1.9421739813734704,-17.560913915350547
1.4636779048023556,-0.3736504679321248,-17.934564383282673
1.4870962556548015,1.233786988451458,-16.700777394831213
1.510889292191064,2.7127313193287903,-13.988046075502423
1.5350630092552098,3.909157412340151,-10.078888663162271
1.5596234976067807,4.698463103929541,-5.38042555923273
1.5845769454554084,4.998445910004081,-0.3819796492286489
1.6099296400199838,4.777864028930704,4.395884379702055
1.6356879691127706,4.059690028579282,8.455574408281336
1.6618584227488662,2.9187183611739536,11.37429276945529
1.6884475947814113,1.4737758720545335,12.848068641509823
1.715462184562965,-0.12465345869036225,12.72341518281946
1.7429089986334578,-1.7101007166283435,11.013314466191117
1.770794952435155,-3.1174490092936624,7.895865456897455
1.7991270720550558,-4.200129615753848,3.6957358411436063
1.8279124959951736,-4.845386431145388,-1.149650590001782
1.8571584769711353,-4.9860189859059005,-6.1356695759076825
1.8868723837395625,-4.60738105935204,-10.743050635259722
1.9170617029546875,-3.748906014838678,-14.4919566500984
1.9477340410546757,-2.500000000000004,-16.991956650098405
1.9788971261781272,-0.9907307159969864,-17.98268736609539
2.010558810111242,0.6217185232374207,-17.36096884285797
2.042727070266142,2.16941869558778,-15.191550147270192
2.075410011690841,3.49118409043036,-11.700366056839831
2.108615869111376,4.449359044057343,-7.251007012782488
2.1423530090066136,4.944154131125641,-2.306852881656847
2.176629931716248,4.9240387650610415,2.6171858834041943
2.211455273582531,4.391107866851146,7.008293750255341
2.246837809126265,3.4008636888545976,10.409157439109938
2.2827864532576143,2.0564355156530634,12.465592954763002
2.3193102635222886,0.4978392329790934,12.963432187742095
2.3564184423836605,-1.112604669781566,11.850827517960528
2.3941203395414004,-2.6071760168974905,9.243651501063038
2.4324254542872077,-3.8302222155948873,5.413429285468151
2.4713434378982333,-4.654368743221016,0.759060542247135
2.5108840960687924,-4.9937846060946125,-4.2347240638474775
2.551057391380991,-4.81312123475006,-9.047845298597537
2.591873445814875,-4.131193871579978,-13.179039170177514
2.6333425432987405,-3.0190220516273962,-16.19806122180491
2.6754751323002597,-1.5924332512584274,-17.790494473063337
2.718281828459045,0.0,-17.790494473063337
