1d_exp_on_col_0,1d_none_on_col_1,1d_cumsum_on_col_1
1.0,1.6666666666666663,1.6666666666666663
1.0159996613842497,1.786596119929453,3.4532627865961194
1.03225531193291,1.90652557319224,5.359788359788359
1.0487710473859297,2.0264550264550265,7.386243386243386
1.0655510290137098,2.1463844797178133,9.5326278659612
1.082599484665568,2.2663139329806,11.798941798941799
1.0999207098349804,2.3862433862433856,14.185185185185185
1.1175190687418637,2.5061728395061733,16.691358024691358
1.1353989954321755,2.62610229276896,19.317460317460316
1.1535649948951077,2.7460317460317465,22.063492063492063
1.1720216441981532,2.8659611992945324,24.929453262786595
1.1907735936403354,2.9858906525573192,27.915343915343914
1.209825567923887,3.1058201058201065,31.021164021164022
1.229182367344677,3.2257495590828924,34.24691358024691
1.2488488690016821,3.3456790123456788,37.59259259259259
1.2688300280258125,3.4656084656084665,41.05820105820106
1.2891308788283935,3.5855379188712524,44.64373897707231
1.3097565363696282,3.705467372134039,48.34920634920635
1.33071219744735,3.8253968253968256,52.17460317460317
1.3520031420063985,3.945326278659613,56.119929453262785
1.3736347344689426,4.065255731922399,60.18518518518518
1.3956124250860895,4.185185185185185,64.37037037037037
1.4179417513111185,4.305114638447972,68.67548500881834
1.4406283391946866,4.425044091710759,73.1005291005291
1.4636779048023556,4.544973544973545,77.64550264550265
1.4870962556548015,4.664902998236332,82.31040564373897
1.510889292191064,4.78483245149912,87.09523809523809
1.5350630092552098,4.904761904761905,92.0
1.5596234976067807,5.024691358024692,97.0246913580247
1.5845769454554084,5.144620811287479,102.16931216931218
1.6099296400199838,5.264550264550264,107.43386243386244
1.6356879691127706,5.384479717813052,112.8183421516755
1.6618584227488662,5.504409171075839,118.32275132275133
1.6884475947814113,5.624338624338624,123.94708994708995
1.715462184562965,5.7442680776014114,129.69135802469137
1.7429089986334578,5.864197530864197,135.55555555555557
1.770794952435155,5.984126984126984,141.53968253968256
1.7991270720550558,6.1040564373897706,147.64373897707233
1.8279124959951736,6.223985890652559,153.8677248677249
1.8571584769711353,6.343915343915344,160.21164021164023
1.8868723837395625,6.463844797178131,166.67548500881836
1.9170617029546875,6.583774250440918,173.25925925925927
1.9477340410546757,6.703703703703704,179.96296296296296
1.9788971261781272,6.8236331569664905,186.78659611992944
2.010558810111242,6.943562610229278,193.7301587301587
2.042727070266142,7.063492063492062,200.79365079365076
2.075410011690841,7.183421516754851,207.97707231040562
2.108615869111376,7.303350970017638,215.28042328042326
2.1423530090066136,7.423280423280424,222.7037037037037
2.176629931716248,7.54320987654321,230.2469135802469
2.211455273582531,7.663139329805998,237.9100529100529
2.246837809126265,7.783068783068786,245.6931216931217
2.2827864532576143,7.9029982363315705,253.59611992945327
2.3193102635222886,8.022927689594358,261.61904761904765
2.3564184423836605,8.142857142857144,269.7619047619048
2.3941203395414004,8.262786596119929,278.02469135802477
2.4324254542872077,8.382716049382717,286.4074074074075
2.4713434378982333,8.502645502645503,294.910052910053
2.5108840960687924,8.62257495590829,303.53262786596133
2.551057391380991,8.742504409171078,312.2751322751324
2.591873445814875,8.862433862433862,321.1375661375663
2.6333425432987405,8.982363315696649,330.11992945326296
2.6754751323002597,9.102292768959435,339.2222222222224
2.718281828459045,9.222222222222225,348.4444444444446
